id,model,date,rating,title,content
74718,galaxy_s10e,2020-07-08,5,great deal!,"amazing phone the perfect size and can't tell it was used. only thing that concerned me is the way that it was shipped with only the slightest amount of padding, the device just bounced around in the box."
36816,iphone5,2014-02-05,5,excellent seller,excellent phone brand new and sealed in its box! Everything works great! thanks! thoroughly recommended. Excellent iPhone5 Haunted delicate and elegant phone
41885,iphone6s,2016-11-24,1,One Star,the iphone6s is described as inactive but has been the warranty period
464,galaxy_s3,2012-11-12,1,Think twice before you buy this phone,I would love this phone if it works fine. I'm user from Hong Kong. I bought the S3 and use it for three months. One night it only charged 20% and stopped. It has the charging symbol but it doesn't go up. later on it won't charge at all. (neither using the main charger and from the computer). I did search on the internet and found out so many people have the same issue all over the world. I sent it to Samsung and repaired three times. It worked fine at the beginning then it happened again. I'm still dealing with this issue. They can't fix it right but they refuse to replace the new one. How can Samsung sell a defect product and refuse to exchange? They support is terrible. Next time I will just get an iphone at least they will replace a new one. I was thinking buy the Samsung smart tv but now I will never buy any Samsung product again.
73787,galaxy_s10e,2022-10-01,5,i love this phone.,"i am an apple person, but wanted to switch. i love this phone. it's easy to use and is a nice size for a smaller hand. touch screen works really well. not too sensitive just enough."
24796,galaxy_s7,2018-01-22,5,great buy,no issues. works great
54085,iphone7,2019-11-08,1,not working as expected,touch not working as expected.condition is not good
3063,galaxy_s3,2014-08-16,5,Five Stars,Excellent! 100% recommended.
12010,galaxy_s5,2015-01-28,4,Galaxy S5 unlocked,Was not fully unlocked had to root it to make the hotspot work haven't tried the wifi calling I use both T-Mobile and a Colombian SIM card 4G Ltd on T-Mobile was good and 4G on Movistar was fine. No issues with this device.
20028,galaxy_s6,2017-07-05,5,Fast Phone! 5 stars!,"The Samsung Galaxy S Series is my favorite line! This phone is fast. At first I was a little worried about it being a certified refurbished item, but after playing with it, it works like a new phone! The price is amazing as well, thank goodness it has dropped in price. You know the specs, so I do not need to relist them here, but a very nice spec list. 64GB is needed in phones now-a-days and I would not get less.This phone can also take a beating. Granted I have an otterbox on it, it has fallen many times with not 1 crack or scratch! I will buy another refurbished item again!Pros:+ Fast Processor+ Much Storage+ Durable+ Nice Camera+ Good Battery Life+ Samsung Pay!+ Great PriceI don't have any Cons for this phone yet, but it is a great phone!"
16517,galaxy_s5,2017-09-14,5,Like the phone,Didn't need to apply a protector st this time. The phone already had one. Gave it to my daughter. Like the phone!
35199,iphone4s,2015-05-03,5,Five Stars,Great phone and price. I recommend item and seller
26892,galaxy_s7,2019-06-03,5,Good Quality,Great Product Thank You so Much
3891,galaxy_s3,2015-01-12,5,Five Stars,wonderfull
48623,iphone6s,2019-08-22,5,Awesome,"Product Arrived one day before expected date, extra clean piece with very good cosmetic  look and the seller was generous to put a screen protector as well, popped the sim and product was activated on Verizon network and apple id was setup and backup was restored from cloud. Awesome Piece."
65859,iphone_6,2018-04-06,1,WORSE BUY YET,Phone doesn't work it won't charge.
9837,galaxy_s5,2014-06-25,4,Loving it!!!,I am loving this phone so far. Everyone wants me to throw it in some water to see if it is really water proof but I am not going to tempt fate phone cost to much money to do that. But the features are nice easy to work with. Having fun.
41162,iphone6s,2015-10-30,5,Five Stars,Perfect as descriped sealed no issue I just had problem with delvery it took more time .
4503,galaxy_s3,2015-05-04,5,Five Stars,It's an excellent product.
7295,galaxy_s4,2014-11-13,5,Five Stars,Its perfect and came right on time.
7860,galaxy_s4,2015-03-14,4,Good phone,Pretty good phone I've never seen the original but this Dosent seem like a fake or anything but all works good
16770,galaxy_s5,2017-12-08,5,Works excellent.,It's always tricky buying older model phones from third party sellers. So I was happy to receive this T Mobile edition Galaxy in its original packaging perfect condition AND unlocked. Saves a lot of stress knowing the phone I'm ordering is what it's supposed to be and doesn't have any problems and isn't locked by the carrier. If you want a reliable buy I'd suggest this company.
71222,iphone_xs_max,2022-09-03,1,DONT BUY,"iPhone started malfunction a couple months after I purchased the phone. I have took very good care of it. Never once dropped or laid a scratch on it. Slowly the phone started to break down suddenly overnight! One day the camera stopped working, a couple months later Face ID stopped working! This is ridiculous. I will probably never buy renewed again. The seller definitely sold me a defective device."
71550,iphone_xs_max,2020-05-01,5,Money well spent,"Was skeptical at first buying a refurbished phone, but no regrets!!! Best $600 I’ve spent in a long time."
53061,iphone7,2019-08-08,5,Would buy from this seller again,Item worked great. Great condition
50186,iphone7,2018-04-29,5,Would buy again,"I figured it was worth the risk if I saved $150-$200 from an Apple refurbished or new iPhone. My phone came in an unmarked white box with charging cord. The screen is perfect, there were two very small areas of dent/scratches in the body of the phone by two corners. The camera works perfectly from what I can tell so far. It works with my carrier Ting. I am very pleased and think that this is a great value!"
40746,iphone5,2016-06-12,5,Very nice phone! I was pleased,Fast service! Very nice phone! I was pleased!
31016,iphone4,2014-02-22,5,Fantastic!,The phone performs wonderful and very good! All the functionality are optimal in operation long battery life clean like new!
48364,iphone6s,2019-07-29,3,"Nice shopping, but bad battery life!","Nice shopping, but bad battery life!"
