model,period,count,bat_yn,dis_yn,cam_yn,body_yn,func_yn,proc_yn,stor_yn,acc_yn,main_yn,bat_p,dis_p,cam_p,body_p,func_p,proc_p,stor_p,acc_p,main_p,bat_n,dis_n,cam_n,body_n,func_n,proc_n,stor_n,acc_n,main_n,bat_m,dis_m,cam_m,body_m,func_m,proc_m,stor_m,acc_m,main_m
iphone4,1,23,3,8,6,9,5,0,2,1,2,1,4,6,4,3,0,1,0,1,3,5,3,5,4,0,1,1,1,0,0,0,5,1,0,1,0,1
iphone4,2,174,17,26,26,40,21,5,16,27,20,10,19,22,23,12,4,10,8,14,8,12,7,24,12,2,6,18,8,0,1,2,5,2,1,2,6,3
iphone4,3,1002,55,67,50,248,103,7,82,122,89,18,23,15,109,36,3,44,38,46,37,44,35,145,67,3,23,81,28,2,7,6,11,6,1,22,13,23
iphone4,4,1994,105,173,70,490,198,8,147,217,156,30,36,19,204,62,2,57,90,59,76,130,56,304,136,6,56,117,63,2,14,0,16,9,0,45,27,46
iphone4s,1,200,28,26,24,36,27,4,23,29,24,12,17,17,19,17,2,8,8,9,20,15,9,21,14,2,7,17,7,2,4,5,6,5,0,8,7,8
iphone4s,2,791,54,56,39,165,62,3,63,98,68,13,22,24,81,26,3,33,28,36,40,34,15,82,37,0,19,65,21,1,3,2,9,3,0,18,10,18
iphone4s,3,1337,122,78,55,231,135,3,62,148,67,20,20,23,108,29,2,33,46,35,103,60,33,131,107,1,25,96,28,3,2,3,4,4,0,9,10,9
iphone4s,4,1945,227,75,28,201,117,4,52,161,58,21,14,13,110,29,1,28,39,29,205,57,15,99,88,3,15,115,20,7,9,4,10,5,0,10,13,10
galaxy_s3,1,1157,240,385,166,324,211,105,90,124,173,116,270,118,157,122,68,51,40,110,151,167,64,210,113,38,32,85,66,13,15,12,23,17,18,23,16,37
galaxy_s3,2,1461,246,238,129,256,143,46,67,138,104,68,159,100,128,81,27,43,50,58,183,100,32,142,69,20,22,92,46,14,6,7,13,6,6,10,12,15
galaxy_s3,3,1733,189,108,40,159,70,11,30,106,46,22,30,16,51,18,5,14,20,19,167,80,24,113,51,5,17,87,27,7,8,1,3,2,3,3,6,6
